source_publication,target_publication,source_page_id,target_page_id,source_date,target_date,ngram_similarity,shingle_similarity,combined_similarity,shared_content,source_context,target_context,source_window_id,target_window_id,source_combined_id,target_combined_id,source_start_word,source_end_word,target_start_word,target_end_word,source_total_page_words,target_total_page_words,reuse_type
AtalantaVol1No2,GoldFlower,19,309,1975-05-01,1975-06-01,0.09776536312849161,0.143952802359882,0.12547782666732585,be expected to attend school as long as he does and bringing her education to an end earlier coincides with the role typing society has long imposed,ywca p m calendar events line minimum two lines send information and pre payment to alert p o box elmwood ct our courts continued from page the two on educational grounds is self serving if the female is not to be supported so long as the male she hardly can be expected to attend school as long as he does and bringing her education to an end earlier coincides with the role typing society has long imposed whether the court will continue to strike down statutes with sex classifications may be noticeable the court presently has two cases before it involving in some manner statutes with sex classifications one statute excusing women from jury duty,if a specified age of majority is required for the boy in order to assure him paren tal support while he attains his education and train ing so too it is for the girl if the female is not to be supported so long as the male she can hardly be expected to attend school as long as he does and bringing her education to an end earlier coincides with the role typing society has long imposed three cheers for blackmun hew marches backward local schools working to eliminate sex discrimination can expect to get only half as much federal help as schools working on race discrimination according to amended regulations proposed by the department of health education and welfare,9,1,19_w9,309_w1,1350,1550,150,350,2077,1130,minimal_reuse
AtalantaVol1No2,GoldFlower,21,309,1975-05-01,1975-06-01,0.07945205479452055,0.18718274111675126,0.14409046658785898,longer is the female destined solely for the home and the rearing of,also stated that the old notions no longer give rationality to the distinction in the statute furthermore the court stated that n o longer is the female destined solely for the home and the rearing of the family and only the male for the marketplace and world of ideas women s activities and responsibilities are increasing and expanding coeducation is a fact not a rarity the presence of women in business in the professions in government and indeed in all walks of life where education is,the law was reasonably designed to prepare the sexes for their expected roles longer dependency for males who need to train themselves as family providers shorter de pendency for girls who tend to mature faster and marry earlier contending that the arguments lacked a rational basis the court said no longer is the female destined solely for the home and the rearing of family and only the male for the marketplace and the world of ideas if a specified age of majority is required for the boy in order to assure him paren tal support while he attains his education and train ing so too it is for the girl if the female,4,1,21_w4,309_w1,600,800,150,350,1294,1130,minimal_reuse
GoldFlower,AintIAWoman,95,884,1972-11-01,1974-05-01,0.234375,0.3501577287066246,0.30384463722397476,i m sorry but the text you provided appears to be incomplete or,i m sorry but the text you provided appears to be incomplete or not representative of a historical document please provide a more substantial excerpt for correction and i will be happy to assist you,i m sorry but the text you provided appears to be incomplete or garbled making it difficult to correct while preserving meaning and context if you have a more complete or clearer version of the text please provide it and i will be happy to assist you with the corrections,0,0,95_w0,884_w0,0,35,0,50,35,50,partial_reuse
GoldFlower,ChangingWoman,202,435,1973-12-01,1972-05-15,0.30049261083743845,0.3231638418079096,0.3140953494197211,important process the entire text from beginning to end do not stop early or truncate rules fix obvious ocr errors like instead of o instead of l preserve the original line breaks and text blocks preserve the original meaning and historical context do not add any additional text do not delete any text process every line do not skip any content original ocr text,important process the entire text from beginning to end do not stop early or truncate rules fix obvious ocr errors like instead of o instead of l preserve the original line breaks and text blocks preserve the original meaning and historical context do not add any additional text do not delete any text process every line do not skip any content original ocr text vol nov dec corrected text vol nov dec,important process the entire text from beginning to end do not stop early or truncate rules fix obvious ocr errors like instead of o instead of l preserve the original line breaks and text blocks preserve the original meaning and historical context do not add any additional text do not delete any text process every line do not skip any content original ocr text pn sa ae n ae a nn sa co xo rss s aa entries for calendar of events must be in by the th and the th of every month may monday meeting with portland mayoral candidate neil s w th attend the mock democratic convention by the portland area,0,0,202_w0,435_w0,0,72,0,200,72,673,partial_reuse
GoldFlower,AintIAWoman,239,885,1974-01-01,1974-05-01,0.0996309963099631,0.16136919315403422,0.13667391441640578,a special double issue on women s labor the political economy of house work the family wage labor british women s liberation and labor struggles pages from radical america,graduates of the university of minnesota law school oakes previously was an as sistant attorney general for the state of minnesota the first woman to be promoted to that post while lansing was a city attorney in st paul the first woman to be appointed to that position radical america a special double issue on women s labor the political economy of house work the family wage labor british women s liberation and labor struggles pages from radical america upland rd cam bridge massachusetts,a special double issue on women s labor the political economy of house work the family wage labor british women s liberation and labor struggles pages from radical america jpland rd cam bridge massachusetts oe a ae g _ o rs pe ee ee ee s ie ee ee wagm he hh we uri of massachusetts soe te tr yorst mass ae ss a o ere ee goo u br é s nag ya te l adoan lesbian poetry,5,0,239_w5,885_w0,750,856,0,200,856,335,minimal_reuse
GoldFlower,BigMammaRag,264,1609,1974-08-01,1975-09-01,0.050666666666666665,0.1683343143025309,0.12126725524818521,in be denied the benefits of or be subjected to discrimination under any,proposed regulations for interpretation and enforcement of title ix of the education act amendments of the regulations are designed to particularize the general anti sex discrimination stipula tion of title ix which says that no person in the united states shall on the basis of sex be excluded from participation in be denied the benefits of or be subjected to discrimination under any education program or activity receiving federal financial as sistance generally the regulations call for equal access and participation by both sexes in course offerings extracurricular activi ties and provision and use of facilities in athletics which has been a hotly de bated area of the regulations the proposed guidelines fall,discussion centered around title ix a federal law stating in part no person shall on the basis of sex be excluded from participa tion in be denied the benefits of or be subjected to discrimination under any educational program or activity receiving federal financial assistance ms beal clarified this law to the women present and applied it to inter scholastic sports and athletic scholarships for college bound women thursday august clare strawn a member of the bmr collective and janine bertram from the lesbian feminist radio collective,4,14,264_w4,1609_w14,600,800,2100,2300,942,2451,minimal_reuse
GoldFlower,BigMammaRag,270,1632,1974-08-01,1974-07-01,0.0681198910081744,0.21981424148606812,0.15913650129491064,women s studies are controlled by men or locked into a system that does not allow adequate freedom for maximum intellectual growth,the ancient amazons is meant to be a feminist humanist alternative to existing patriarchal society schools of higher education dr peters said that the institute would offer a greater degree of academic freedom than is found currently at colleges and universities offering women s studies in many schools she asserted women s studies are controlled by men or locked into a system that does not allow adequate freedom for maximum intellectual growth courses at the institute which will begin with two five week summer sessions next year will include political theory women s history psychology creative writing and journalism all taught from a feminist perspective tuition will be arranged according to a sliding scale based on ability to pay and will include,need for the study of unadulterated feminist philosophy dr joan peters one of the founders said in an interview that there will be greater academic freedom than found at any college or university offering women s studies present courses leave something to be desired she said in many schools the women s studies are controlled by men or locked into a system that does not allow adequate freedom for maximum intellectual growth dr peters of goddard college in plainfield vt and brooklyn n y told how the institute got its name the name was taken from the sagaris the double edged sword of the ancient amazons who according to mythology were militant only when necessary to protect themselves from aggressors the amazons,1,2,270_w1,1632_w2,150,350,300,500,497,974,minimal_reuse
GoldFlower,BigMammaRag,270,1632,1974-08-01,1974-07-01,0.05929919137466307,0.18223234624145787,0.13305908429473995,is meant to be a feminist humanist alternative to existing patriarchal society schools of higher education dr peters said,community store th st se feminist institute to open in a group of leading women writers teachers and activists has announced plans for a feminist institute in burlington vermont according to spokeswoman joan peters the institute which will be named sagaris after the double edged sword of the ancient amazons is meant to be a feminist humanist alternative to existing patriarchal society schools of higher education dr peters said that the institute would offer a greater degree of academic freedom than is found currently at colleges and universities offering women s studies in many schools she asserted women s studies are controlled by men or locked into a system that does not allow adequate freedom for maximum intellectual growth,themselves from aggressors the amazons mythology holds were powerfully strong women who waged war on the oppressors dr peters stressed that they take sagaris in a political and not a military sense our institute which we call an institute to allow ourselves the intellectual freedom not possible in establishment colleges is meant to be a feminist humanist alternative to existing patriarchal society schools of higher education dr peters said the founders include writers teachers and activists among them is blanche boyd author of a book titled nerves also involved according to dr peters is ti grace atkinson pioneer theoretician of the women s movement in america girl gets mary joyce who complained to her boss about calling her the,1,3,270_w1,1632_w3,150,350,450,650,497,974,minimal_reuse
GoldFlower,BigMammaRag,271,1593,1974-08-01,1975-08-01,0.12840466926070038,0.20422535211267606,0.17389707897188578,and ideals of a new feminist consciousness interviews focusing on local feminists poetry exploring a female art form health discovering and defending our bodies individual subs institutions,n y a a ror typewriter file cabinet postage will be paid by and the prestige of running your boss business speedwriting west nd street ses a pte teen new york new york news covering feminist activities colorado s monthly women s journal in the west theory developing the ideas and ideals of a new feminist consciousness interviews focusing on local feminists poetry exploring a female art form health discovering and defending our bodies individual subs institutions q institutions sample or back copy bulk rates available gaylord st denver co,and ideals of a new feminist consciousness interviews focusing on local feminists poetry exploring a female art form health discovering and defending our bodies individual subs institutions sample or back copy bulk rates available gaylord st denver co justice only shackled in transport to the hospital but they were shackled to their beds as well men on the other hand have not been shackled to their beds except in cases where a dangerous prisoner made such action,2,11,271_w2,1593_w11,300,397,1650,1850,397,1858,minimal_reuse
GoldFlower,BigMammaRag,271,1623,1974-08-01,1975-10-01,0.17391304347826086,0.3059360730593607,0.2531268612269208,in the west theory developing the ideas and ideals of a new feminist consciousness interviews focusing on local feminists poetry exploring a female art form,the united states permit no new york n y a a ror typewriter file cabinet postage will be paid by and the prestige of running your boss business speedwriting west nd street ses a pte teen new york new york news covering feminist activities colorado s monthly women s journal in the west theory developing the ideas and ideals of a new feminist consciousness interviews focusing on local feminists poetry exploring a female art form health discovering and defending our bodies individual subs institutions q institutions sample or back copy bulk rates available gaylord st denver co,laurel galana of aq because most of the issues are out of print gina and laurel will be publishing the lesbian reader an anthology of all three years of amazon quarterly it will be at the woman to woman bookstore as soon as it is available news covering feminist activities in the west theory developing the ideas and ideals of a new feminist consciousness interviews focusing on local feminists poetry exploring a female art form individual subs institutions sample or back copy bulk rates available gaylord st denver co,2,12,271_w2,1623_w12,300,397,1800,1925,397,1925,partial_reuse
GoldFlower,BigMammaRag,285,1552,1975-05-01,1975-05-01,0.3971631205673759,0.4688763136620857,0.44019103642420176,in the fall of although we know that lesbian poets are writing in all parts of the country we have not yet heard of most of these women excellent poems are going unread in large part for lack of publishing outlets and limited space in those that do exist we want both to open more space for these writers and to make their poetry visible to those presently unaware of the,hope have an effect on the congress and strengthen the supreme court decision best wishes sincerely donald m fraser amazon poetry we are inviting submission of poems to amazon poetry an anthology a collection of writing by living lesbian poets to be pub lished in the fall of although we know that lesbian poets are writing in all parts of the country we have not yet heard of most of these women excellent poems are going unread in large part for lack of publishing outlets and limited space in those that do exist we want both to open more space for these writers and to make their poetry visible to those presently unaware of the existence of a vital lesbian literature please send poems typed on ½x paper to amazon poetry rd street brooklyn new york include your name and address on each page of poetry you submit if a poem has been published previously please indicate this clearly on the same page as the,call macaroon productions debut concert will feature alix dobkin new york singer songwriter formerly with lavender jane to contact macaroon productions call the women s switchboard amazon poetry we are inviting submissions of poems to amazon poetry an anthology a collection of writing by living lesbian poets to be published in the fall of although we know that lesbian poets are writing in all parts of the country we have not yet heard of most of these women excellent poems are going unread in large part for lack of publishing outlets and limited space in those that do exist we want both to open more space for these writers and to make their poetry visible to those presently unaware of the ex istence of a vital lesbian literature please send poems typed on ½ x paper to amazon poetry rd street brooklyn new york include your name and address on each page of poetry you submit if a poem,4,2,285_w4,1552_w2,600,800,300,500,821,1719,moderate_reuse
GoldFlower,BigMammaRag,285,1552,1975-05-01,1975-05-01,0.2507936507936508,0.3736422881969587,0.32450283323563556,paper to amazon poetry rd street brooklyn new york include your name and address on each page of poetry you submit if a poem has been published previously please indicate this clearly on the same page as the poem itself so that we can request permission to reprint however no special preference will be given to previously,in large part for lack of publishing outlets and limited space in those that do exist we want both to open more space for these writers and to make their poetry visible to those presently unaware of the existence of a vital lesbian literature please send poems typed on ½x paper to amazon poetry rd street brooklyn new york include your name and address on each page of poetry you submit if a poem has been published previously please indicate this clearly on the same page as the poem itself so that we can request permission to reprint however no special preference will be given to previously pub lished poems only poems accompanied by a stamped self addressed envelope will be re turned,and to make their poetry visible to those presently unaware of the ex istence of a vital lesbian literature please send poems typed on ½ x paper to amazon poetry rd street brooklyn new york include your name and address on each page of poetry you submit if a poem has been published previously please indicate this clearly on the same page as the poem itself so that we can request permission to reprint however no special preference will be given to previously published poems only poems accompanied by a stamped self addressed envelope will be returned deadline july new alexandria library pledge drive for a long time the new alexandria library for lesbian women has been operating on a shoe string budget mo assured it is nowhere near adequate for building and,4,3,285_w4,1552_w3,600,800,450,650,821,1719,partial_reuse
GoldFlower,BigMammaRag,285,1552,1975-05-01,1975-05-01,0.17777777777777778,0.24438454627133874,0.21774183887391435,poem has been published previously please indicate this clearly on the same page as the poem itself so that we can request permission to reprint however no special preference will be given to previously,poem has been published previously please indicate this clearly on the same page as the poem itself so that we can request permission to reprint however no special preference will be given to previously pub lished poems only poems accompanied by a stamped self addressed envelope will be re turned deadline july supplies orchids minneapolis at reindeer square at find by critters trop sh house plants so snelling across from macalester,and to make their poetry visible to those presently unaware of the ex istence of a vital lesbian literature please send poems typed on ½ x paper to amazon poetry rd street brooklyn new york include your name and address on each page of poetry you submit if a poem has been published previously please indicate this clearly on the same page as the poem itself so that we can request permission to reprint however no special preference will be given to previously published poems only poems accompanied by a stamped self addressed envelope will be returned deadline july new alexandria library pledge drive for a long time the new alexandria library for lesbian women has been operating on a shoe string budget mo assured it is nowhere near adequate for building and,5,3,285_w5,1552_w3,750,821,450,650,821,1719,partial_reuse
GoldFlower,BigMammaRag,318,1613,1975-09-01,1975-09-01,0.16272189349112426,0.3575624082232012,0.2796262023303704,girls are between and years of age they are cir cumcised the clitoris is cut off,a sudanese and living in sudan i write to you on woman s situation here the woman is oppressed in total slavery but it is especially one of the links of her oppression that i would try to create an opinion against that link is circumcision actually amputation when the girls are between and years of age they are cir cumcised the clitoris is cut off the labia minor and labia major well after that the girl is sewn together and these stitches break at delivery of a child in addition to cutting off all those parts the va gina is also sewn together like a reinforced hymen so as a rule it takes several weeks,infant daughter who is married to a sudanese khartoum sudan april i write to you about the situation of women here women are oppressed in total slavery but it is especially of one aspect of that oppression i wish to tell you that aspect is circumci sion actually amputation when girls are between and years of age they are cir cumcised the clitoris is cut off as well as the labia minor and labia major after that the girl is sewn together and these stitches break at the delivery of a child in addition the vagina is sewn together like a reinforced hymen so as a rule it takes several weeks before a husband has penetrated,9,9,318_w9,1613_w9,1350,1550,1350,1550,1786,2070,partial_reuse
GoldFlower,BigMammaRag,318,1613,1975-09-01,1975-09-01,0.13544668587896252,0.2970365265334252,0.23240059027164015,sewn together like a reinforced hymen so as a rule it takes several weeks before,at delivery of a child in addition to cutting off all those parts the va gina is also sewn together like a reinforced hymen so as a rule it takes several weeks before the husband has penetrated his wife the amputation is executed in the home by a midwife the family has a big party when it is executed and everybody is happy the women sing and shout in order to overrule the cries of pain from the child if everything turns out,actually amputation when girls are between and years of age they are cir cumcised the clitoris is cut off as well as the labia minor and labia major after that the girl is sewn together and these stitches break at the delivery of a child in addition the vagina is sewn together like a reinforced hymen so as a rule it takes several weeks before a husband has penetrated his wife the amputation is executed at home by a midwife the family has a big party and everybody is happy the women sing and shout in order to drown the cries of pain from the child if every thing turns out well the parents are,10,9,318_w10,1613_w9,1500,1700,1350,1550,1786,2070,minimal_reuse
GoldFlower,BigMammaRag,318,1613,1975-09-01,1975-09-01,0.07671232876712329,0.16017587939698494,0.12679045914504028,and everybody is happy the women sing and shout in order to,off all those parts the va gina is also sewn together like a reinforced hymen so as a rule it takes several weeks before the husband has penetrated his wife the amputation is executed in the home by a midwife the family has a big party when it is executed and everybody is happy the women sing and shout in order to overrule the cries of pain from the child if everything turns out well the parents are congratulated that the girl did not lose too much blood the custom to circumcise the girls is years old this amputation is called pharaonic circumcision everybody does that with their daughters except the tiny,wife the amputation is executed at home by a midwife the family has a big party and everybody is happy the women sing and shout in order to drown the cries of pain from the child if every thing turns out well the parents are congratulated that big mama rag vol a no counterrevolutionary the implicit answer is no that answer becomes explicit in her volume my house which brings the revolution off the streets and into her,10,10,318_w10,1613_w10,1500,1700,1500,1700,1786,2070,minimal_reuse
GoldFlower,BigMammaRag,318,1613,1975-09-01,1975-09-01,0.07356948228882834,0.2120451693851945,0.15665489454664805,girls is years old this amputation is called pharaonic circumcision everybody does,a big party when it is executed and everybody is happy the women sing and shout in order to overrule the cries of pain from the child if everything turns out well the parents are congratulated that the girl did not lose too much blood the custom to circumcise the girls is years old this amputation is called pharaonic circumcision everybody does that with their daughters except the tiny minority of whites the european influenced upper class also perform the circumcision even gynecologists and other physicians do it the amputation is said to be prohibited according to a law for appearance s sake that nobody heeds anyway circumcision of girls is not,power as she writes in when i die and if i ever touched a life i hope that life knows that i know that touching was and still is and will always be the true revolu tion maimed the girl did not lose too much blood the custom of circumcising girls is years old this amputation is called pharaonic circumcision everybody does this to their daughters except for the tiny minority of whites who are held in contempt they represent the occupation forces of past centuries who have stayed on european influenced upper class sudanese also practice this circumcision even gynecologists and physicians do it the amputation is said to be prohibited,10,12,318_w10,1613_w12,1500,1700,1800,2000,1786,2070,minimal_reuse
GoldFlower,BigMammaRag,318,1613,1975-09-01,1975-09-01,0.07167235494880546,0.23392718822618125,0.16902525491523093,physicians do it the amputation is said to be prohibited,congratulated that the girl did not lose too much blood the custom to circumcise the girls is years old this amputation is called pharaonic circumcision everybody does that with their daughters except the tiny minority of whites the european influenced upper class also perform the circumcision even gynecologists and other physicians do it the amputation is said to be prohibited according to a law for appearance s sake that nobody heeds anyway circumcision of girls is not discussed is never mentioned in newspapers tv or radio and the people refuse to talk about it with foreigners i feel powerless translator s note the custom of clitoridectomy and infibulation which is,except for the tiny minority of whites who are held in contempt they represent the occupation forces of past centuries who have stayed on european influenced upper class sudanese also practice this circumcision even gynecologists and physicians do it the amputation is said to be prohibited by law for appearances sake circumci sion of girls is not discussed is never mentioned in the media and the people refuse to discuss it with foreigners i feel power less the only thing i can do is to create publicity abroad in order to create pressure on the sudan,10,13,318_w10,1613_w13,1500,1700,1950,2070,1786,2070,minimal_reuse
GoldFlower,BigMammaRag,323,1585,1975-09-01,1975-01-01,0.041044776119402986,0.1806797853309481,0.12482578164633006,yvonne wanrow s legal defense fund seattle first national bank,following example letter sign it stamp it and get it in the mail as soon as possible yvonne is poor has no income and her family needs her she cannot win her freedom alone with a new trial yvonne s financial needs are greatly intensified donations can be sent to yvonne wanrow s legal defense fund seattle first national bank north spokane branch account spokane washington letters of support and copies of the letters to the governor can be sent to yvonne wanrow s indian legal defense committee p o box inchelium washington sample letter honorable daniel j evans governor of the state of washington capitol building olympia washington dear,can be sent to national abortion rights action league room w th street new york ny support our advertisers they help support us yvonne wanrow s legal defense fund seattle first national bank spokane branch account spokane wa petitions can be obtained from yvonne s indian legal defense committee w broadway spokane wa letters demanding that the charges be dropped should be addressed to governor daniel j evans state capitol building olympia wa with copies sent to yvonne s indian legal defense committee,0,10,323_w0,1585_w10,0,200,1500,1595,629,1595,minimal_reuse
GoldFlower,AintIAWoman,365,884,1975-02-01,1974-05-01,0.16666666666666666,0.2702702702702703,0.22882882882882882,i m sorry but the text you provided appears to be incomplete or,i m sorry but the text you provided appears to be incomplete or nonsensical please provide a longer or more coherent segment of text for correction,i m sorry but the text you provided appears to be incomplete or garbled making it difficult to correct while preserving meaning and context if you have a more complete or clearer version of the text please provide it and i will be happy to assist you with the corrections,0,0,365_w0,884_w0,0,26,0,50,26,50,partial_reuse
